Beer,Brewery,City,State,Style,Size,ABV,IBUs,Rating,Style Rating,Number of ratings,Weighted Avg,Estimated Calories
Cone Crusher,18th Street Brewery,Gary,IN,American IPA,12 oz.,8.60%,N/A,92,54,19,3.49,258
Hunter,18th Street Brewery,Gary,IN,American Stout,12 oz.,8.00%,N/A,99,99,88,3.77,240
Rise of the Phoenix,18th Street Brewery,Gary,IN,American IPA,12 oz.,7.10%,N/A,84,66,18,3.38,213
Sinister,18th Street Brewery,Gary,IN,American Double / Imperial IPA,12 oz.,9.00%,N/A,98,91,26,3.71,270
Back in Black,21st Amendment Brewery,San Francisco,CA,American Black Ale,12 oz.,6.80%,65,93,78,810,3.54,204
Bitter American,21st Amendment Brewery,San Francisco,CA,American Pale Ale (APA),12 oz.,4.40%,42,91,91,529,3.49,132
Brew Free! or Die IPA,21st Amendment Brewery,San Francisco,CA,American IPA,12 oz.,7.00%,65,96,95,1013,3.62,210
Fireside Chat,21st Amendment Brewery,San Francisco,CA,Winter Warmer,12 oz.,7.90%,45,55,69,380,3.15,237
Hell or High Watermelon Wheat,21st Amendment Brewery,San Francisco,CA,Fruit / Vegetable Beer,12 oz.,4.90%,17,30,58,765,2.85,147
Hop Crisis,21st Amendment Brewery,San Francisco,CA,American Double / Imperial IPA,12 oz.,9.70%,94,98,94,526,3.76,291
Lower De Boom,21st Amendment Brewery,San Francisco,CA,American Barleywine,8.4 oz.,11.50%,92,93,67,329,3.52,345
Marooned On Hog Island,21st Amendment Brewery,San Francisco,CA,American Stout,12 oz.,7.90%,N/A,96,90,221,3.62,237
Monk's Blood,21st Amendment Brewery,San Francisco,CA,Belgian Dark Ale,12 oz.,8.30%,35,96,93,589,3.6,249
Special Edition: Allies Win The War!,21st Amendment Brewery,San Francisco,CA,English Strong Ale,12 oz.,8.50%,52,95,98,248,3.6,255
Ballz Deep Double IPA,7 Seas Brewing Company,Gig Harbor,WA,American Double / Imperial IPA,16 oz.,8.40%,82,78,30,70,3.31,240
British Pale Ale,7 Seas Brewing Company,Gig Harbor,WA,English Pale Ale,16 oz.,5.40%,30,55,87,25,3.15,162
Rude Parrot IPA,7 Seas Brewing Company,Gig Harbor,WA,American IPA,16 oz.,5.90%,75,78,51,35,3.32,176
Abita Amber,Abita Brewing Company,Abita Springs,LA,American Amber / Red Lager,12 oz.,4.50%,17,19,45,866,2.68,135
Jockamo IPA,Abita Brewing Company,Abita Springs,LA,American IPA,12 oz.,6.50%,52,58,34,813,3.17,195
Purple Haze,Abita Brewing Company,Abita Springs,LA,Fruit / Vegetable Beer,12 oz.,4.20%,13,15,41,1263,2.57,142
Colorado Native,AC Golden Brewing Company,Golden,CO,American Amber / Red Lager,12 oz.,5.50%,26,24,55,105,2.77,165
Oatmeal PSA,Airways Brewing Company,Kent,WA,American Pale Ale (APA),16 oz.,5.00%,N/A,89,91,15,3.44,150
Pre Flight Pilsner,Airways Brewing Company,Kent,WA,American Pilsner,16 oz.,5.20%,33,56,93,23,3.16,150
Focal Banger,Alchemist Cannery,Waterbury,VT,Amercian IPA,16 oz.,7.00%,98,100,100,107,3.97,210
Holy Cow IPA,Alchemist Cannery,Waterbury,VT,American IPA,16 oz.,5.40%,85,97,96,68,3.64,162
Heady Topper,Alchemist Cannery,Waterbury,VT,American Double / Imperial IPA,16 oz.,8.00%,120,100,100,1218,4.24,240
Kentucky IPA,Alltech's Lexington Brewing Company,Lexington,KY,American IPA,16 oz.,6.50%,N/A,48,22,112,3.09,195
Desolation IPA,Amnesia Brewing Company,Washougal,WA,American IPA,16 oz.,6.20%,43,78,48,74,3.3,186
California Lager,Anchor Brewing Company,San Francisco,CA,American Pale Lager,12 oz.,4.90%,N/A,61,95,513,3.2,147
Brotherhood Steam Beer,Anchor Brewing Company,San Francisco,CA,American Pale Lager,12 oz.,5.60%,N/A,84,98,34,3.38,168
Anchor IPA,Anchor Brewing Company,San Francisco,CA,American IPA,12 oz.,6.50%,65,91,85,638,3.5,195
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,Boonville,CA,Oatmeal Stout,12 oz.,5.70%,13,96,97,1726,3.63,174
Boont Amber Ale,Anderson Valley Brewing Company,Boonville,CA,American Amber / Red Ale,12 oz.,5.80%,15,88,97,1153,3.42,174
Hop Ottin' IPA,Anderson Valley Brewing Company,Boonville,CA,American IPA,12 oz.,7.00%,80,97,96,2020,3.65,210
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,Boonville,CA,American Pale Ale (APA),12 oz.,5.50%,28,68,58,625,3.24,150
Summer Solstice Cerveza Crema,Anderson Valley Brewing Company,Boonville,CA,Cream Ale,12 oz.,5.60%,4,51,91,580,3.13,168
Winter Solstice,Anderson Valley Brewing Company,Boonville,CA,Winter Warmer,12 oz.,6.90%,6,90,96,1094,3.46,207
Oaky's Oatmeal Stout,Angry Minnow Brewing Company,Hayward,WI,Oatmeal Stout,16 oz.,4.70%,N/A,78,49,22,3.3,141
River Pig Pale Ale,Angry Minnow Brewing Company,Hayward,WI,American Pale Ale (APA),16 oz.,5.40%,N/A,71,60,32,3.25,162
Sky High Rye,Arcadia Brewing Company,Battle Creek,MI,Rye Beer,12 oz.,6.00%,N/A,90,93,305,3.45,180
Whitsun,Arcadia Brewing Company,Battle Creek,MI,American Pale Wheat Ale,12 oz.,6.20%,17,50,82,366,3.12,186
Ninja Porter,Asheville Brewing Company,Asheville,NC,American Porter,12 oz.,5.30%,26,83,75,165,3.37,158
Rocket Girl,Asheville Brewing Company,Asheville,NC,Kolsch,12 oz.,3.20%,27,31,74,58,2.86,96
Shiva IPA,Asheville Brewing Company,Asheville,NC,American IPA,12 oz.,6.00%,69,73,46,188,3.27,180
Independence Pass Ale,Aspen Brewing Company,Aspen,CO,American IPA,12 oz.,7.00%,62,79,53,34,3.32,210
This Season's Blonde,Aspen Brewing Company,Aspen,CO,American Blonde Ale,12 oz.,5.60%,24,39,58,27,2.96,168
Bitter Bitch Imperial IPA,Astoria Brewing Company,Astoria,OR,American Double / Imperial IPA,12 oz.,8.20%,100,97,89,41,3.68,246
Old Red Beard Amber Ale,Astoria Brewing Company,Astoria,OR,American Amber / Red Ale,12 oz.,6.00%,35,47,N/A,9,3.07,180
Poop Deck Porter,Astoria Brewing Company,Astoria,OR,American Porter,12 oz.,6.20%,35,74,56,25,3.28,186
Atwater's Lager,Atwater Brewery,Detroit,MI,Munich Helles Lager,12 oz.,5.00%,12,21,33,84,2.7,150
Dirty Blonde Ale,Atwater Brewery,Detroit,MI,American Blonde Ale,12 oz.,4.20%,10,20,30,166,2.7,126
Grand Circus IPA,Atwater Brewery,Detroit,MI,American IPA,12 oz.,4.20%,62,31,6,130,2.87,126
Black Thunder,Austin Beerworks,Austin,TX,Schwarzbier,12 oz.,5.30%,45,70,82,60,3.25,159
Fire Eagle IPA,Austin Beerworks,Austin,TX,American IPA,12 oz.,6.40%,70,84,67,109,3.38,192
Peacemaker,Austin Beerworks,Austin,TX,American Pale Ale (APA),12 oz.,5.10%,12,28,35,44,2.82,153
Pearl-Snap,Austin Beerworks,Austin,TX,German Pilsener,12 oz.,5.30%,45,81,98,84,3.34,159
Avery India Pale Ale,Avery Brewing Company,Boulder,CO,American IPA,12 oz.,6.50%,69,96,94,1758,3.61,195
Avery Joes Premium American Pilsner,Avery Brewing Company,Boulder,CO,German Pilsener,12 oz.,4.70%,42,78,97,393,3.31,141
Ellies Brown Ale,Avery Brewing Company,Boulder,CO,American Brown Ale,12 oz.,5.50%,17,90,96,1141,3.45,165
White Rascal,Avery Brewing Company,Boulder,CO,Witbier,12 oz.,5.60%,10,70,89,1338,3.26,168
